IssueDate,Violation,FineAmount,NumberViolations,TotalFineAmount
2024-01-01,BUS LANE VIOLATION,50,9,450
2024-01-01,BUS LANE VIOLATION,100,1,100
2024-01-02,BUS LANE VIOLATION,50,1349,67450
2024-01-02,BUS LANE VIOLATION,100,296,29600
2024-01-02,BUS LANE VIOLATION,150,136,20400
2024-01-02,BUS LANE VIOLATION,200,62,12400
2024-01-02,BUS LANE VIOLATION,250,135,33750
2024-01-03,BUS LANE VIOLATION,50,1517,75850
2024-01-03,BUS LANE VIOLATION,100,327,32700
2024-01-03,BUS LANE VIOLATION,150,114,17100
2024-01-03,BUS LANE VIOLATION,200,45,9000
2024-01-03,BUS LANE VIOLATION,250,175,43750
2024-01-04,BUS LANE VIOLATION,50,1422,71100
2024-01-04,BUS LANE VIOLATION,100,315,31500
2024-01-04,BUS LANE VIOLATION,150,135,20250
2024-01-04,BUS LANE VIOLATION,200,77,15400
2024-01-04,BUS LANE VIOLATION,250,172,43000
2024-01-05,BUS LANE VIOLATION,50,1702,85100
2024-01-05,BUS LANE VIOLATION,100,386,38600
2024-01-05,BUS LANE VIOLATION,150,160,24000
2024-01-05,BUS LANE VIOLATION,200,70,14000
2024-01-05,BUS LANE VIOLATION,250,191,47750
2024-01-06,BUS LANE VIOLATION,50,1167,58350
2024-01-06,BUS LANE VIOLATION,100,245,24500
2024-01-06,BUS LANE VIOLATION,150,112,16800
2024-01-06,BUS LANE VIOLATION,200,51,10200
2024-01-06,BUS LANE VIOLATION,250,95,23750
2024-01-07,BUS LANE VIOLATION,50,799,39950
2024-01-07,BUS LANE VIOLATION,100,178,17800
2024-01-07,BUS LANE VIOLATION,150,64,9600
2024-01-07,BUS LANE VIOLATION,200,38,7600
2024-01-07,BUS LANE VIOLATION,250,83,20750
2024-01-08,BUS LANE VIOLATION,50,1105,55250
2024-01-08,BUS LANE VIOLATION,100,275,27500
2024-01-08,BUS LANE VIOLATION,150,92,13800
2024-01-08,BUS LANE VIOLATION,200,62,12400
2024-01-08,BUS LANE VIOLATION,250,142,35500
2024-01-09,BUS LANE VIOLATION,50,1394,69700
2024-01-09,BUS LANE VIOLATION,100,360,36000
2024-01-09,BUS LANE VIOLATION,150,149,22350
2024-01-09,BUS LANE VIOLATION,200,67,13400
2024-01-09,BUS LANE VIOLATION,250,161,40250
2024-01-10,BUS LANE VIOLATION,50,1473,73650
2024-01-10,BUS LANE VIOLATION,100,395,39500
2024-01-10,BUS LANE VIOLATION,150,172,25800
2024-01-10,BUS LANE VIOLATION,200,68,13600
2024-01-10,BUS LANE VIOLATION,250,184,46000
2024-01-11,BUS LANE VIOLATION,50,1314,65700
2024-01-11,BUS LANE VIOLATION,100,318,31800
2024-01-11,BUS LANE VIOLATION,150,130,19500
2024-01-11,BUS LANE VIOLATION,200,63,12600
